Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drivetrain_link,0,0,0,0,0,0,8.86383766737404E-10,4.56723206931787E-12,-2.2077097222925E-15,-1.04901796284215E-16,4.83884905421863E-12,1.7504628072973E-13,4.56767200483111E-12,0,0,0,0,0,0,package://robot_mo_spawn/meshes/drivetrain_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_mo_spawn/meshes/drivetrain_link.STL,,Body-1;left paw-1;left paw-2;backpack-1/backpack cap-1;ball-1;balllace-1;backpack-1/backpack sack-1;necklace-1;wrist-2;wrist-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head_Link,-1.91945355998424E-08,-0.0199999997639629,0.163454222653329,0,0,0,0.0450433766842122,1.81877794346208E-05,1.60223999635036E-11,4.66478017322657E-13,4.21634991649581E-06,1.80895254841783E-13,2.17080553486099E-05,0,0,0,0,0,0,package://robot_mo_spawn/meshes/head_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_mo_spawn/meshes/head_Link.STL,,Head v2-2;neck-2;eye-1;eye-2;bulb-3/bulb inner-1;bulb-3/bulb outer-1;stringthing-1;cherry-1;bulb-3/bulblace-1,Origin_head,Axis_head,head,fixed,0,0.0600000000000004,0.392,1.57067850821101,0.0291452635664948,-2.67687873176892,drivetrain_link,0,0,0,,,,,,,,,,,,
